product_id,product_name,category,subcategory,cost_price
PROD0001,Mobile Product 1,Electronics,Mobile,6219.61
PROD0002,Mobile Product 2,Electronics,Mobile,42656.03
PROD0003,Mobile Product 3,Electronics,Mobile,22656.93
PROD0004,Mobile Product 4,Electronics,Mobile,44944.08
PROD0005,Mobile Product 5,Electronics,Mobile,22311.05
PROD0006,Laptop Product 6,Electronics,Laptop,4480.76
PROD0007,Laptop Product 7,Electronics,Laptop,34128.27
PROD0008,Laptop Product 8,Electronics,Laptop,42291.51
PROD0009,Laptop Product 9,Electronics,Laptop,16047.43
PROD0010,Laptop Product 10,Electronics,Laptop,17436.52
PROD0011,Tablet Product 11,Electronics,Tablet,3340.46
PROD0012,Tablet Product 12,Electronics,Tablet,27154.35
PROD0013,Tablet Product 13,Electronics,Tablet,44577.45
PROD0014,Tablet Product 14,Electronics,Tablet,42582.97
PROD0015,Tablet Product 15,Electronics,Tablet,35619.27
PROD0016,Headphones Product 16,Electronics,Headphones,46373.49
PROD0017,Headphones Product 17,Electronics,Headphones,31921.23
PROD0018,Headphones Product 18,Electronics,Headphones,39705.45
PROD0019,Headphones Product 19,Electronics,Headphones,25486.91
PROD0020,Headphones Product 20,Electronics,Headphones,6155.99
PROD0021,Camera Product 21,Electronics,Camera,10128.92
PROD0022,Camera Product 22,Electronics,Camera,7029.96
PROD0023,Camera Product 23,Electronics,Camera,39539.62
PROD0024,Camera Product 24,Electronics,Camera,1411.57
PROD0025,Camera Product 25,Electronics,Camera,27745.67
PROD0026,Shirts Product 26,Clothing,Shirts,18508.67
PROD0027,Shirts Product 27,Clothing,Shirts,40202.72
PROD0028,Shirts Product 28,Clothing,Shirts,27627.18
PROD0029,Shirts Product 29,Clothing,Shirts,30636.22
PROD0030,Shirts Product 30,Clothing,Shirts,4402.15
PROD0031,Jeans Product 31,Clothing,Jeans,15533.61
PROD0032,Jeans Product 32,Clothing,Jeans,49979.79
PROD0033,Jeans Product 33,Clothing,Jeans,35971.6
PROD0034,Jeans Product 34,Clothing,Jeans,26332.21
PROD0035,Jeans Product 35,Clothing,Jeans,38481.31
PROD0036,Shoes Product 36,Clothing,Shoes,41184.64
PROD0037,Shoes Product 37,Clothing,Shoes,3780.16
PROD0038,Shoes Product 38,Clothing,Shoes,48621.75
PROD0039,Shoes Product 39,Clothing,Shoes,32152.7
PROD0040,Shoes Product 40,Clothing,Shoes,22553.73
PROD0041,Jackets Product 41,Clothing,Jackets,34037.44
PROD0042,Jackets Product 42,Clothing,Jackets,17291.29
PROD0043,Jackets Product 43,Clothing,Jackets,43910.21
PROD0044,Jackets Product 44,Clothing,Jackets,39035.12
PROD0045,Jackets Product 45,Clothing,Jackets,32025.72
PROD0046,T-Shirts Product 46,Clothing,T-Shirts,9179.96
PROD0047,T-Shirts Product 47,Clothing,T-Shirts,48316.6
PROD0048,T-Shirts Product 48,Clothing,T-Shirts,21687.65
PROD0049,T-Shirts Product 49,Clothing,T-Shirts,45544.54
PROD0050,T-Shirts Product 50,Clothing,T-Shirts,2865.1
PROD0051,Furniture Product 51,Home,Furniture,6295.64
PROD0052,Furniture Product 52,Home,Furniture,7735.47
PROD0053,Furniture Product 53,Home,Furniture,8316.39
PROD0054,Furniture Product 54,Home,Furniture,16200.77
PROD0055,Furniture Product 55,Home,Furniture,35495.67
PROD0056,Kitchen Product 56,Home,Kitchen,17366.55
PROD0057,Kitchen Product 57,Home,Kitchen,47051.11
PROD0058,Kitchen Product 58,Home,Kitchen,44756.8
PROD0059,Kitchen Product 59,Home,Kitchen,42312.09
PROD0060,Kitchen Product 60,Home,Kitchen,12605.2
PROD0061,Decor Product 61,Home,Decor,31789.35
PROD0062,Decor Product 62,Home,Decor,27586.99
PROD0063,Decor Product 63,Home,Decor,6346.0
PROD0064,Decor Product 64,Home,Decor,15210.95
PROD0065,Decor Product 65,Home,Decor,26720.55
PROD0066,Bedding Product 66,Home,Bedding,25178.4
PROD0067,Bedding Product 67,Home,Bedding,8514.93
PROD0068,Bedding Product 68,Home,Bedding,47086.19
PROD0069,Bedding Product 69,Home,Bedding,7794.29
PROD0070,Bedding Product 70,Home,Bedding,32970.77
PROD0071,Appliances Product 71,Home,Appliances,36059.58
