item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00666,PROD0049,3,22311.4,0.58
ITEM000002,ORD00120,PROD0011,1,33472.73,25.49
ITEM000003,ORD00024,PROD0076,5,24026.97,34.69
ITEM000004,ORD00097,PROD0076,2,49997.71,35.14
ITEM000005,ORD00306,PROD0074,2,3268.57,45.44
ITEM000006,ORD00815,PROD0069,2,35067.02,19.69
ITEM000007,ORD00838,PROD0069,5,25993.17,29.24
ITEM000008,ORD00731,PROD0084,1,10452.44,32.93
ITEM000009,ORD00121,PROD0024,5,365.67,22.36
ITEM000010,ORD00322,PROD0016,1,10390.87,8.06
ITEM000011,ORD00576,PROD0033,1,6323.38,14.93
ITEM000012,ORD00990,PROD0070,2,47266.9,0.0
ITEM000013,ORD00308,PROD0006,5,14740.5,26.71
ITEM000014,ORD00144,PROD0074,4,26181.05,49.3
ITEM000015,ORD00361,PROD0078,5,34427.72,33.13
ITEM000016,ORD00046,PROD0031,1,15055.49,41.63
ITEM000017,ORD00981,PROD0018,5,29629.98,13.87
ITEM000018,ORD00747,PROD0080,4,12822.87,19.09
ITEM000019,ORD00926,PROD0021,4,47242.55,33.83
ITEM000020,ORD00963,PROD0089,2,3620.85,36.63
ITEM000021,ORD00649,PROD0090,2,28225.74,32.39
ITEM000022,ORD00524,PROD0078,2,7759.22,49.62
ITEM000023,ORD00445,PROD0049,1,12450.13,13.51
ITEM000024,ORD00545,PROD0015,5,16534.94,4.45
ITEM000025,ORD00932,PROD0043,3,39925.06,13.68
ITEM000026,ORD00101,PROD0049,2,5339.64,46.28
ITEM000027,ORD00180,PROD0068,3,40359.23,4.78
ITEM000028,ORD00358,PROD0090,5,27621.96,30.37
ITEM000029,ORD00919,PROD0007,2,37618.46,9.03
ITEM000030,ORD00826,PROD0095,5,44112.86,20.13
ITEM000031,ORD00607,PROD0017,-3,25726.91,7.77
ITEM000032,ORD00130,PROD0019,4,13441.76,45.92
ITEM000033,ORD00655,PROD0048,2,20970.36,22.89
ITEM000034,ORD00450,PROD0046,4,13863.57,21.39
ITEM000035,ORD00965,PROD0092,2,42910.28,47.37
ITEM000036,ORD00417,PROD0099,3,31770.37,3.83
ITEM000037,ORD00246,PROD0012,2,4320.8,14.29
ITEM000038,ORD00952,PROD0064,1,21256.78,25.43
ITEM000039,ORD00749,PROD0018,4,34287.58,33.84
ITEM000040,ORD00546,PROD0090,1,30852.7,45.54
ITEM000041,ORD00764,PROD0001,4,37508.43,12.21
ITEM000042,ORD00757,PROD0085,5,2213.56,22.43
ITEM000043,ORD00173,PROD0087,5,8823.23,18.35
ITEM000044,ORD00137,PROD0066,3,21193.84,18.95
ITEM000045,ORD00383,PROD0015,3,12563.28,26.96
ITEM000046,ORD00785,PROD0016,3,14747.9,10.65
ITEM000047,ORD00756,PROD0081,5,46160.51,46.46
ITEM000048,ORD00983,PROD0083,5,1867.91,23.15
ITEM000049,ORD00633,PROD0063,1,30814.96,16.43
ITEM000050,ORD00363,PROD0014,1,36149.44,20.1
ITEM000051,ORD00010,PROD0013,4,4328.71,25.72
ITEM000052,ORD00158,PROD0053,1,444.83,38.47
ITEM000053,ORD00257,PROD0029,4,15034.32,21.42
ITEM000054,ORD00187,PROD0069,3,21984.75,41.97
ITEM000055,ORD00166,PROD0018,3,389.93,44.18
ITEM000056,ORD00727,PROD0026,1,2108.79,19.73
ITEM000057,ORD00762,PROD0043,1,10029.7,23.96
ITEM000058,ORD00682,PROD0035,1,27551.17,39.99
ITEM000059,ORD00732,PROD0017,3,39038.84,19.99
ITEM000060,ORD00744,PROD0095,4,47888.16,39.64
