order_id,customer_id,order_date,status,region_code
ORD00001,CUST0212,2025-12-20 06:26:32,RETURNED,WEST
ORD00002,CUST0032,2025-12-28 04:33:13,RETURNED,EAST
ORD00003,CUST0193,2025-06-10 05:29:58,RETURNED,EAST
ORD00004,CUST0445,2026-01-05 21:41:51,DELIVERED,WEST
ORD00005,CUST0286,2025-06-02 07:19:49,DELIVERED,SOUTH
ORD00006,CUST0246,2025-06-28 17:59:59,DELIVERED,EAST
ORD00007,CUST0195,04-04-2026 12:52:22,SHIPPED,EAST
ORD00008,CUST0041,2025-06-27 14:41:16,CANCELLED,SOUTH
ORD00009,CUST0478,2025-10-15 22:17:08,PLACED,SOUTH
ORD00010,CUST0272,2025-04-26 20:14:03,PLACED,WEST
ORD00011,CUST0349,2026-01-30 04:00:35,SHIPPED,WEST
ORD00012,CUST0244,2025-09-02 20:12:48,DELIVERED,EAST
ORD00013,CUST0394,2025-02-15 20:36:14,RETURNED,NORTH
ORD00014,CUST0452,2026-03-05 05:59:58,PLACED,WEST
ORD00015,CUST0384,2026-05-08 09:56:02,PLACED,EAST
ORD00016,CUST0172,2025-05-26 14:41:34,RETURNED,WEST
ORD00017,CUST0259,2025-08-28 08:12:51,PLACED,EAST
ORD00018,CUST0132,2026-01-03 05:00:47,DELIVERED,EAST
ORD00019,CUST0090,2025-11-09 20:57:25,CANCELLED,EAST
ORD00020,CUST0095,2025-03-13 15:20:59,SHIPPED,NORTH
ORD00021,CUST0386,2025-05-17 10:19:37,RETURNED,NORTH
ORD00022,CUST0121,2025-02-01 21:07:29,DELIVERED,SOUTH
ORD00023,CUST0459,2026-03-31 22:49:19,PLACED,EAST
ORD00024,CUST0491,2025-03-10 15:09:29,RETURNED,EAST
ORD00025,CUST0242,2026-01-23 17:51:42,SHIPPED,SOUTH
ORD00026,CUST0404,2025-02-11 16:28:33,DELIVERED,NORTH
ORD00027,CUST0425,2025-10-08 16:12:36,RETURNED,SOUTH
ORD00028,CUST0227,2025-03-01 21:13:45,RETURNED,WEST
ORD00029,CUST0415,2025-01-29 14:08:32,CANCELLED,WEST
ORD00030,CUST0345,2026-02-18 09:46:01,CANCELLED,EAST
ORD00031,CUST0297,2025-02-07 01:27:22,PLACED,NORTH
ORD00032,CUST0479,2025-08-30 01:18:26,SHIPPED,SOUTH
ORD00033,CUST0331,2026-05-09 13:23:57,CANCELLED,WEST
ORD00034,CUST0193,2025-02-11 21:42:55,RETURNED,SOUTH
ORD00035,CUST0092,2025-10-03 12:33:08,SHIPPED,NORTH
ORD00036,CUST0238,2025-12-11 23:34:27,RETURNED,WEST
ORD00037,CUST0178,2025-03-21 08:12:59,PLACED,NORTH
ORD00038,CUST0393,2026-04-25 00:15:13,PLACED,NORTH
ORD00039,CUST0345,2025-12-27 01:15:47,PLACED,WEST
ORD00040,CUST0387,2026-03-19 01:08:32,DELIVERED,SOUTH
ORD00041,CUST0164,2025-10-23 19:49:43,DELIVERED,SOUTH
ORD00042,CUST0339,2025-09-24 07:26:19,DELIVERED,NORTH
ORD00043,CUST0377,12-04-2026 05:40:43,CANCELLED,WEST
ORD00044,CUST0330,2025-12-10 12:50:33,DELIVERED,WEST
ORD00045,CUST0095,2026-01-22 17:30:15,SHIPPED,EAST
ORD00046,CUST0238,2026-04-14 01:35:26,CANCELLED,SOUTH
ORD00047,CUST0170,2025-11-28 02:59:28,DELIVERED,NORTH
ORD00048,CUST0027,2025-05-18 12:43:38,RETURNED,NORTH
ORD00049,CUST0390,2025-10-28 23:42:35,SHIPPED,WEST
ORD00050,CUST0156,2026-05-05 00:13:59,SHIPPED,NORTH
ORD00051,CUST0469,2025-05-05 22:38:45,SHIPPED,WEST
ORD00052,CUST0398,2025-05-25 12:29:34,DELIVERED,EAST
ORD00053,CUST0255,2025-08-27 03:51:46,CANCELLED,EAST
ORD00054,CUST0212,2025-01-24 18:55:14,SHIPPED,NORTH
ORD00055,CUST0297,2026-01-04 13:18:09,SHIPPED,EAST
ORD00056,CUST0126,2025-09-13 17:41:43,DELIVERED,EAST
ORD00057,CUST0371,2025-11-25 23:31:29,SHIPPED,EAST
ORD00058,CUST0251,2025-04-05 17:41:03,RETURNED,NORTH
ORD00059,CUST0419,2025-12-09 01:48:00,CANCELLED,SOUTH
ORD00060,CUST0363,2025-03-19 00:13:32,CANCELLED,EAST
ORD00061,CUST0479,2025-11-12 15:42:31,PLACED,NORTH
ORD00062,CUST0009,2025-09-29 23:17:34,DELIVERED,NORTH
ORD00063,CUST0221,2026-02-17 05:06:58,PLACED,SOUTH
ORD00064,CUST0130,2026-02-22 11:17:50,CANCELLED,NORTH
ORD00065,CUST0290,2025-05-05 22:14:19,PLACED,NORTH
ORD00066,CUST0283,2025-09-01 01:40:00,SHIPPED,NORTH
ORD00067,CUST0402,2025-06-19 18:54:06,RETURNED,NORTH
ORD00068,CUST0355,2026-03-31 18:30:17,PLACED,NORTH
ORD00069,CUST0279,2025-10-16 21:02:11,DELIVERED,NORTH
ORD00070,CUST0386,2026-02-25 22:52:25,PLACED,EAST
ORD00071,CUST0428,2026-03-11 12:43:57,RETURNED,EAST
ORD00072,CUST0405,2025-12-19 23:05:32,DELIVERED,NORTH
ORD00073,CUST0039,2025-06-24 19:49:39,RETURNED,WEST
ORD00074,CUST0325,2025-05-20 14:31:14,DELIVERED,WEST
ORD00075,CUST0339,2025-07-14 02:49:39,DELIVERED,SOUTH
ORD00076,CUST0079,2025-07-14 22:50:40,SHIPPED,WEST
ORD00077,CUST0003,2026-04-28 09:28:23,DELIVERED,NORTH
ORD00078,CUST0230,2025-10-13 17:32:26,PLACED,NORTH
ORD00079,CUST0306,2025-11-03 10:55:24,PLACED,EAST
ORD00080,CUST0372,2026-04-07 17:57:15,RETURNED,SOUTH
ORD00081,CUST0138,2025-06-04 08:31:09,PLACED,SOUTH
ORD00082,CUST0248,2026-02-05 02:23:16,SHIPPED,WEST
ORD00083,CUST0055,2025-03-11 09:00:25,DELIVERED,WEST
ORD00084,CUST0172,2025-08-09 20:38:08,DELIVERED,EAST
ORD00085,CUST0246,2025-06-10 05:25:20,DELIVERED,WEST
ORD00086,CUST0167,2025-07-12 08:52:50,CANCELLED,EAST
ORD00087,CUST0304,2025-10-07 05:43:49,RETURNED,NORTH
ORD00088,CUST0363,2025-04-18 14:51:18,PLACED,WEST
