customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level,occupation,customer_zip_code,customer_city,customer_state
1,56,Other,High,No,0,No,Divorced,3,Bachelor's,Self-Employed,37848,City D,State Y
2,69,Female,Medium,No,2,No,Married,2,PhD,Unemployed,44896,,State X
3,46,Female,Low,No,5,No,Married,3,Bachelor's,Self-Employed,11816,City B,State X
4,32,Female,Low,No,0,No,Divorced,2,Master's,Employed,78604,City A,State Y
5,60,Female,,Yes,7,Yes,Divorced,2,Bachelor's,Employed,17760,City B,State Z
6,25,Other,Medium,Yes,4,Yes,Divorced,0,Bachelor's,Unemployed,54549,City D,State Z
7,78,Male,High,No,0,No,Single,2,Master's,Retired,76235,City D,State X
8,38,,Low,Yes,2,No,Married,1,Master's,Employed,52863,City B,State Y
9,56,Female,Low,No,0,No,Single,4,PhD,Self-Employed,65537,City C,State Y
10,75,Male,Medium,No,3,No,Married,2,High School,Self-Employed,43331,City C,State X
11,36,Female,Low,No,1,No,Divorced,1,Bachelor's,,11562,City C,State Z
12,40,Female,High,No,2,No,Single,0,High School,Employed,93685,City A,State X
13,28,Other,Medium,Yes,7,No,Single,2,Master's,Unemployed,32141,City D,State Y
14,28,Male,Low,No,6,Yes,Single,3,Master's,Employed,80781,City C,State Y
15,41,Male,Medium,No,7,No,Divorced,3,PhD,Employed,70478,City D,State Z
16,70,Male,Medium,No,9,Yes,Divorced,4,High School,Retired,46924,City A,State Z
17,53,Female,Medium,Yes,9,Yes,Divorced,1,Bachelor's,Retired,40401,City D,State Z
18,57,Male,Low,No,6,No,Divorced,0,High School,Employed,52762,City D,State X
19,41,Other,Medium,No,9,Yes,Divorced,0,Bachelor's,Employed,38197,City A,State X
20,20,Male,Low,No,7,No,Single,3,PhD,Unemployed,47478,City D,State Y
21,39,Female,High,Yes,9,Yes,Divorced,0,PhD,Employed,74500,City D,State Y
22,70,Male,High,No,8,No,Divorced,0,Bachelor's,Employed,69058,City C,State Z
23,19,Other,Low,No,1,No,Divorced,1,High School,Unemployed,58301,City A,State Z
24,41,Male,Low,Yes,8,No,Single,0,High School,Retired,21585,City C,State Z
25,61,Female,Medium,No,9,Yes,Single,4,PhD,Unemployed,80677,City A,State Z
26,47,Male,High,No,4,Yes,Single,0,High School,Retired,79310,City D,State Z
27,55,Other,Low,No,8,Yes,Married,3,High School,Self-Employed,63089,City A,State X
28,19,Other,Low,Yes,0,No,Married,4,PhD,Self-Employed,64368,City C,State Z
29,77,Male,Low,No,7,No,Single,1,Bachelor's,Retired,49343,City C,State Z
30,38,Female,Low,Yes,5,No,Divorced,2,High School,Unemployed,66903,City C,State Y
31,50,Male,Low,Yes,4,Yes,Married,4,PhD,Self-Employed,67111,City C,State Y
32,29,Other,Medium,No,3,No,Married,0,Bachelor's,Employed,61623,City D,State X
33,75,Other,High,No,9,Yes,Single,0,High School,Self-Employed,33297,City B,State Z
34,39,Female,High,Yes,0,Yes,Divorced,0,Master's,Unemployed,26320,City D,State X
35,78,Other,Low,No,1,No,Single,3,Bachelor's,Employed,94542,City A,State Y
36,61,Other,Low,Yes,0,Yes,Married,4,Bachelor's,Self-Employed,28124,City D,State X
37,42,Male,Low,No,3,Yes,Married,3,High School,Retired,32593,City B,State Y
38,66,Other,High,No,0,Yes,Married,1,PhD,Employed,55973,City B,State Z
39,44,Male,Medium,No,4,Yes,Divorced,2,High School,Unemployed,62306,City D,State Y
40,76,Other,High,Yes,6,No,Single,4,Master's,Retired,26972,City C,State X
41,59,Male,High,No,2,No,Married,2,PhD,Employed,17351,City D,State Y
42,45,Male,High,Yes,4,Yes,Married,2,Master's,Self-Employed,67043,City A,State X
43,77,Other,High,Yes,3,No,Single,1,PhD,Self-Employed,62751,City D,State Y
44,33,Other,Medium,Yes,8,Yes,Divorced,3,PhD,Employed,38995,City C,State X
45,32,Female,High,No,1,No,Single,4,Master's,Unemployed,66432,City B,State Y
46,79,Female,High,Yes,3,No,Married,1,Master's,Unemployed,49394,City C,State Z
47,79,Male,Low,Yes,5,No,Married,0,PhD,Self-Employed,64680,City D,State X
48,64,Male,Low,No,3,Yes,Single,0,PhD,Unemployed,10997,City A,State X
49,79,Other,Low,No,9,No,Married,0,PhD,Self-Employed,43560,City A,State X
50,68,Male,Medium,Yes,0,No,Single,1,PhD,Employed,71882,City B,State Y
51,61,Female,Medium,Yes,2,No,Divorced,0,Master's,Self-Employed,24662,City C,State Z
52,72,Male,Medium,Yes,8,Yes,Married,1,Master's,Self-Employed,90106,City B,State X
53,69,Male,High,Yes,5,No,Married,1,High School,Employed,73957,City C,State Z
54,74,Male,Low,No,9,Yes,Divorced,1,Bachelor's,Self-Employed,78757,City D,State X
55,20,Male,High,No,6,No,Single,1,Bachelor's,Retired,55287,City C,State Y
56,54,Female,Low,No,1,Yes,Single,0,Bachelor's,Unemployed,70894,City D,State X
57,68,Other,Low,Yes,8,No,Single,3,High School,Retired,10347,City D,State Z
58,24,Other,Low,No,2,No,Single,1,Master's,Unemployed,39795,City B,State Y
59,38,Male,High,No,6,No,Divorced,0,Bachelor's,Retired,87812,City A,State Z
60,26,Female,High,No,6,No,Divorced,2,PhD,Self-Employed,98831,City B,State Y
61,56,Female,Medium,No,3,Yes,Divorced,3,PhD,Employed,74012,City D,State Z
62,35,Female,High,No,5,Yes,Divorced,3,PhD,Unemployed,49612,City B,State X
63,21,Male,High,Yes,2,No,Divorced,2,Bachelor's,Self-Employed,59175,City D,State X
64,42,Male,Medium,Yes,2,Yes,Divorced,3,Bachelor's,Retired,10545,City D,State Z
65,77,Female,Low,No,1,No,Divorced,4,High School,Employed,42205,City B,State Y
66,31,Male,Low,No,9,Yes,Married,4,Bachelor's,Unemployed,59026,City C,State Z
67,67,Other,High,Yes,7,Yes,Married,2,PhD,Employed,63036,City C,State X
68,75,Other,Medium,No,0,No,Married,0,Bachelor's,Retired,60429,City C,State X
69,26,Male,High,Yes,5,No,Single,4,High School,Retired,26009,City A,State X
70,43,Other,Medium,No,7,Yes,Single,1,Master's,Self-Employed,88376,City A,State Y
71,70,Other,Low,Yes,9,Yes,Divorced,0,High School,Self-Employed,51383,City B,State X
72,19,Male,High,Yes,0,No,Married,2,PhD,Retired,64436,City D,State Y
73,37,Female,Low,No,4,Yes,Single,4,Bachelor's,Retired,19184,City A,State Z
74,45,Other,Medium,Yes,2,Yes,Single,4,Master's,Self-Employed,14576,City C,State X
75,64,Male,High,Yes,3,Yes,Divorced,3,Bachelor's,Retired,72244,City C,State Y
76,77,Male,Low,Yes,5,Yes,Divorced,1,Bachelor's,Retired,78941,City B,State Z
77,24,Other,High,No,8,Yes,Single,3,Bachelor's,Retired,14018,City C,State X
78,61,Other,Medium,No,0,Yes,Divorced,4,Bachelor's,Employed,37334,City C,State X
79,78,Female,High,No,3,Yes,Divorced,3,Master's,Retired,24625,City D,State X
80,25,Other,High,No,6,No,Divorced,1,Bachelor's,Retired,82567,City C,State Z
81,64,Other,High,No,1,No,Married,1,Bachelor's,Self-Employed,16272,City B,State X
82,52,Other,Medium,Yes,4,No,Married,2,Master's,Self-Employed,23663,City B,State Y
83,31,Female,High,Yes,1,Yes,Married,2,High School,Unemployed,41100,City C,State Y
84,34,Male,Medium,Yes,0,Yes,Divorced,2,PhD,Retired,47355,City A,State X
85,53,Other,Low,No,6,Yes,Single,0,PhD,Employed,86461,City B,State Z
86,67,Male,Low,No,8,No,Married,4,High School,Employed,94018,City B,State Z
