product_id,product_name,product_brand,product_category,product_rating,product_review_count,product_stock,product_return_rate,product_size,product_weight,product_color,product_material,product_manufacture_date,product_expiry_date,product_shelf_life,unit_price
1480,Product D,Brand Y,Electronics,2.5,560,48,0.4,Small,4.61,Red,Metal,2019-08-04 01:47:01,2022-05-28 14:54:02,250,49.72
1597,Product C,Brand X,Groceries,4.7,413,80,0.3,Medium,0.84,Blue,Metal,2019-10-23 19:59:17,2022-12-19 08:04:41,180,817.76
5142,Product B,,Toys,4.6,312,14,0.08,Medium,0.23,Green,Plastic,2018-05-12 08:00:29,2023-02-01 12:15:07,131,270.3
8447,Product A,Brand Z,Toys,1.1,110,69,0.09,Large,4.37,Blue,Wood,2019-11-15 16:17:29,2023-02-05 11:46:57,16,547.84
6025,Product C,Brand X,Clothing,3.8,172,25,0.39,Small,1.68,Red,Metal,2019-08-27 02:58:19,2023-10-05 08:13:07,57,785.29
1883,Product A,Brand Y,Clothing,3.3,678,74,0.38,Large,0.26,,Glass,2019-02-09 22:23:36,2022-10-31 01:48:25,89,751.17
7781,Product D,Brand Y,Toys,2.4,434,20,0.09,Medium,9.12,White,Plastic,2018-12-14 12:35:24,2023-11-04 17:03:25,316,340.07
8642,Product B,Brand Y,Groceries,2.4,868,60,0.26,Medium,0.58,Blue,Wood,2018-01-06 22:13:14,2022-01-24 05:50:56,360,17.7
7193,Product B,Brand Z,Groceries,,392,45,0.28,Medium,6.52,Blue,Wood,2018-12-25 09:49:50,2022-10-04 03:00:26,77,458.85
7739,Product A,Brand X,Clothing,3.6,356,61,0.03,Large,8.38,Red,Plastic,2018-02-27 19:00:28,2022-02-20 12:19:26,10,612.28
1804,Product B,Brand Y,Furniture,3.8,303,22,0.44,Small,8.99,Green,Plastic,2018-08-09 08:43:14,2022-03-12 11:30:26,359,192.98
6986,Product B,Brand X,Electronics,1.4,88,15,0.3,Medium,3.07,Blue,Glass,2019-12-02 11:35:43,2022-12-11 20:03:58,70,875.65
568,Product C,Brand Y,Clothing,4.2,141,47,0.36,Large,7.57,Black,Plastic,2019-07-24 18:30:24,2023-10-31 08:14:56,319,
1376,Product B,Brand X,Clothing,3.8,501,40,0.11,Medium,0.91,Black,Glass,2018-06-02 00:12:15,2022-10-24 23:49:44,234,81.02
7339,Product A,Brand Z,Groceries,2.8,981,49,0.18,Large,0.88,Green,Plastic,2018-03-31 01:41:59,2022-05-10 12:47:26,307,815.2
1149,Product D,Brand Y,Clothing,1.6,704,43,0.05,Medium,1.49,Red,Glass,2018-06-19 14:24:53,2022-02-12 12:43:22,133,87.71
3009,Product C,Brand Z,Groceries,1.6,939,28,0.23,Small,0.76,Blue,Wood,2019-12-20 23:34:21,2023-03-19 12:07:32,120,390.82
7414,Product C,Brand Y,Groceries,3.5,327,6,0.11,Small,4.4,Blue,Wood,2019-09-07 19:12:06,2023-12-08 00:14:04,330,241.98
5266,Product B,Brand Y,Toys,3.1,705,79,0.03,Large,2.22,Blue,Plastic,2018-08-12 00:04:32,2023-10-31 23:17:59,350,182.88
3281,Product B,Brand Z,Furniture,2.5,933,56,0.34,Large,4.64,Blue,Metal,2019-05-06 15:48:59,2023-07-07 02:17:40,349,417.57
2012,Product C,Brand Y,Furniture,1.9,78,90,0.38,Large,8.13,Blue,Metal,2019-11-06 23:13:17,2022-10-20 15:44:46,54,422.93
668,Product C,Brand X,Clothing,2.7,704,67,0.3,Large,4.37,White,Wood,2018-02-26 11:46:49,2022-07-15 00:30:04,218,542.14
8715,Product C,Brand X,Toys,4.9,48,10,0.33,Small,2.68,Green,Plastic,2018-07-29 16:14:37,2023-07-14 05:35:27,150,512.97
3445,Product A,Brand Y,Furniture,2.4,585,17,0.43,Medium,2.81,Black,Glass,2018-08-05 17:57:25,2022-07-26 17:22:44,140,211.15
3311,Product A,Brand X,Electronics,4.1,884,80,0.47,Medium,7.43,White,Glass,2019-03-20 21:07:59,2022-07-30 21:11:18,345,951.92
414,Product C,Brand Z,Toys,3.0,32,66,0.43,Medium,0.88,Black,Plastic,2018-10-03 19:03:23,2022-06-09 13:43:36,18,687.35
5367,Product A,Brand Y,Electronics,4.9,329,26,0.08,Large,1.63,Red,Wood,2018-11-04 09:09:44,2023-03-01 18:35:45,276,825.54
2614,Product C,Brand Y,Groceries,4.4,351,93,0.29,Small,7.76,Blue,Metal,2019-06-30 04:56:40,2022-04-09 02:59:43,280,446.15
4642,Product C,Brand Y,Clothing,2.9,992,81,0.17,Large,6.75,Black,Glass,2018-05-27 19:33:06,2023-05-16 01:43:05,148,833.11
3121,Product A,Brand X,Toys,4.2,486,53,0.48,Medium,3.39,Green,Wood,2018-05-24 10:35:11,2023-01-22 09:39:31,293,101.91
2843,Product D,Brand X,Toys,4.5,312,45,0.03,Large,5.97,Green,Wood,2018-12-20 18:32:16,2023-12-19 17:14:59,157,338.22
3338,Product A,Brand Y,Electronics,1.4,385,84,0.06,Large,4.75,White,Glass,2019-03-26 14:34:28,2022-05-07 17:07:47,265,15.89
4854,Product D,Brand Y,Groceries,4.3,838,13,0.3,Medium,9.59,Green,Plastic,2019-09-13 07:55:07,2023-03-11 19:06:32,252,134.44
8507,Product A,Brand X,Furniture,1.0,330,2,0.22,Medium,6.75,Green,Plastic,2019-09-19 10:14:11,2022-12-02 10:27:26,28,728.02
1067,Product A,Brand X,Electronics,3.5,354,72,0.34,Medium,8.85,Red,Plastic,2018-01-07 03:47:49,2023-05-29 07:17:37,30,129.03
8037,Product B,Brand X,Furniture,3.1,913,43,0.39,Medium,0.99,Green,Metal,2018-07-11 19:10:01,2022-03-11 22:32:34,23,422.37
3340,Product D,Brand X,Groceries,4.5,31,48,0.35,Medium,4.81,Red,Wood,2018-02-27 15:56:22,2022-02-03 04:00:14,25,113.69
4404,Product B,Brand Z,Electronics,1.5,528,4,0.25,Medium,6.79,Red,Plastic,2019-02-20 17:40:52,2023-09-07 20:22:20,121,821.95
8280,Product D,Brand X,Electronics,3.2,133,48,0.34,Large,2.86,Red,Wood,2018-07-03 20:43:56,2022-11-02 11:57:01,209,685.73
7704,Product C,Brand Z,Clothing,4.7,595,99,0.06,Small,6.88,Blue,Wood,2019-01-06 00:16:51,2022-10-08 16:08:43,84,597.0
8199,Product D,Brand X,Electronics,3.2,690,6,0.17,Large,2.79,Red,Metal,2018-06-29 03:11:43,2023-10-12 10:23:19,323,172.07
1992,Product A,Brand X,Groceries,4.3,932,77,0.08,Small,7.53,Black,Metal,2019-01-11 20:28:46,2023-04-16 07:13:00,364,632.41
2761,Product A,Brand Y,Furniture,4.5,960,64,0.41,Large,8.51,White,Wood,2019-10-14 21:37:20,2023-08-22 06:59:56,30,52.47
2771,Product C,Brand Y,Furniture,4.8,147,9,0.16,Large,8.77,Blue,Metal,2019-10-09 07:39:21,2022-05-31 12:52:43,99,175.74
9134,Product B,Brand Y,Electronics,4.6,314,68,0.45,Medium,2.46,Red,Metal,2019-04-22 06:09:12,2022-03-29 01:19:13,171,67.87
9560,Product D,Brand X,Clothing,1.2,626,6,0.28,Small,0.53,Green,Glass,2018-05-28 06:29:21,2023-01-18 19:48:23,189,377.62
8917,Product D,Brand Y,Furniture,1.3,412,34,0.04,Small,1.52,Blue,Metal,2019-10-23 12:53:32,2022-04-24 01:46:09,142,797.62
8087,Product B,Brand Z,Groceries,1.5,928,95,0.38,Small,4.46,Black,Glass,2019-12-24 23:09:39,2023-03-21 03:35:15,234,719.79
6803,Product B,Brand Z,Groceries,3.5,101,17,0.06,Small,1.18,White,Wood,2018-09-20 04:21:49,2022-08-22 01:19:22,211,807.22
7111,Product A,Brand Z,Toys,1.9,187,69,0.1,Medium,2.08,Blue,Metal,2018-04-16 01:08:44,2023-05-11 01:01:12,180,810.19
3603,Product D,Brand Y,Toys,4.0,37,12,0.22,Medium,7.22,Green,Glass,2019-01-11 22:49:41,2022-03-08 15:45:10,274,646.55
8618,Product C,Brand X,Electronics,1.7,823,59,0.2,Large,7.19,Red,Wood,2018-11-06 04:59:01,2022-02-08 23:58:49,63,422.91
8973,Product B,Brand Y,Furniture,4.6,123,70,0.32,Small,0.8,Blue,Metal,2018-12-22 07:01:16,2022-07-09 03:15:11,35,850.68
2834,Product D,Brand Y,Clothing,1.6,77,38,0.26,Small,4.7,Red,Wood,2018-08-09 05:00:39,2023-09-27 13:13:43,334,561.83
6664,Product D,Brand X,Clothing,2.4,639,98,0.15,Medium,8.07,White,Wood,2019-04-20 11:06:10,2022-05-03 00:18:00,99,226.54
1095,Product A,Brand X,Toys,2.5,909,18,0.06,Large,2.99,Black,Wood,2019-04-10 15:46:37,2023-06-12 02:28:32,112,528.3
4573,Product D,Brand Y,Electronics,3.3,592,88,0.21,Large,1.0,Black,Glass,2018-10-02 12:17:59,2023-11-26 10:51:52,216,520.44
4078,Product C,Brand Y,Furniture,1.3,187,24,0.28,Small,3.86,Green,Metal,2018-10-11 23:29:13,2023-08-01 14:41:53,9,293.39
6108,Product A,Brand Z,Groceries,3.3,395,42,0.42,Medium,1.03,Red,Glass,2019-08-21 09:37:26,2022-01-27 16:11:06,35,376.96
83,Product D,Brand Y,Clothing,5.0,768,1,0.03,Large,3.73,White,Glass,2019-11-27 05:03:40,2022-05-18 21:30:59,196,399.04
