transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,discount_applied,payment_method,store_location,transaction_hour,day_of_week,week_of_year,month_of_year,total_sales,promotion_id,promotion_type,holiday_season,season,weekend
503290,2020-10-11 10:08:52,1,1480,8,49.72,0.5,Credit Card,Location A,18,Wednesday,27,7,563.16,271,20% Off,No,Spring,Yes
347796,2021-12-08 01:07:40,2,1597,7,817.76,0.32,Credit Card,Location C,15,Friday,20,2,7554.57,631,Flash Sale,No,Summer,Yes
493688,2020-02-17 09:40:48,3,5142,8,270.3,0.35,Debit Card,Location A,9,Saturday,35,6,7564.14,879,Flash Sale,Yes,Winter,Yes
861348,2020-08-13 00:43:14,4,8447,2,547.84,0.1,,Location A,13,Friday,42,8,8125.92,211,Buy One Get One Free,Yes,Winter,No
535835,2021-07-02 11:59:03,5,6025,4,785.29,0.17,Mobile Payment,Location C,17,Monday,37,3,114.32,862,Flash Sale,Yes,Summer,Yes
978720,2020-12-01 16:31:54,6,1883,2,751.17,0.32,Credit Card,Location B,19,Saturday,50,2,3372.17,171,Buy One Get One Free,Yes,Summer,No
24070,2020-03-14 22:58:48,7,7781,5,340.07,0.41,Debit Card,Location A,15,Thursday,12,10,1322.64,664,Buy One Get One Free,No,Spring,No
752282,2021-11-17 15:56:04,8,8642,7,17.7,0.42,Debit Card,Location D,22,Saturday,3,9,1716.65,733,Buy One Get One Free,Yes,Summer,Yes
11898,2020-05-18 08:48:18,9,7193,7,458.85,0.2,Mobile Payment,Location B,19,Sunday,6,10,1358.62,429,Flash Sale,Yes,Winter,No
321956,2020-03-10 18:03:08,10,7739,4,612.28,0.1,Credit Card,Location C,19,Saturday,33,8,6757.7,516,20% Off,Yes,Spring,Yes
927692,2021-10-13 08:07:17,11,1804,4,192.98,,Mobile Payment,Location D,15,Sunday,43,11,8484.33,257,Buy One Get One Free,No,Winter,Yes
276103,2021-01-26 14:31:38,12,6986,3,875.65,0.39,Mobile Payment,Location A,19,Wednesday,26,9,999.17,603,20% Off,Yes,Fall,Yes
643957,2021-04-01 14:27:15,13,568,2,671.26,0.34,Debit Card,Location D,0,Tuesday,33,6,923.13,586,Flash Sale,Yes,Summer,No
