customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level,occupation,customer_zip_code,customer_city,customer_state,surrogate_key,version,effective_start_date,effective_end_date,is_current
1,56,Other,High,No,0,No,Divorced,3,Bachelor's,Self-Employed,37848,Old_City_1,Old_State_1,501,1,2020-01-01,2021-12-31,False
1,56,Other,High,No,0,No,Divorced,3,Bachelor's,Self-Employed,37848,New York,State NY,1,2,2022-01-01,,True
2,69,Female,Medium,No,2,No,Married,2,PhD,Unemployed,44896,Old_City_2,Old_State_2,502,1,2020-01-01,2021-12-31,False
2,69,Female,Medium,No,2,No,Married,2,PhD,Unemployed,44896,Los Angeles,State CA,2,2,2022-01-01,,True
3,46,Female,Low,No,5,No,Married,3,Bachelor's,Self-Employed,11816,City B,State X,3,1,2022-01-01,,True
4,32,Female,Low,No,0,No,Divorced,2,Master's,Employed,78604,Old_City_3,Old_State_3,503,1,2020-01-01,2021-12-31,False
4,32,Female,Low,No,0,No,Divorced,2,Master's,Employed,78604,Chicago,State IL,4,2,2022-01-01,,True
5,60,Female,Low,Yes,7,Yes,Divorced,2,Bachelor's,Employed,17760,City B,State Z,5,1,2022-01-01,,True
6,25,Other,Medium,Yes,4,Yes,Divorced,0,Bachelor's,Unemployed,54549,City D,State Z,6,1,2022-01-01,,True
7,78,Male,High,No,0,No,Single,2,Master's,Retired,76235,City D,State X,7,1,2022-01-01,,True
8,38,Other,Low,Yes,2,No,Married,1,Master's,Employed,52863,City B,State Y,8,1,2022-01-01,,True
9,56,Female,Low,No,0,No,Single,4,PhD,Self-Employed,65537,City C,State Y,9,1,2022-01-01,,True
10,75,Male,Medium,No,3,No,Married,2,High School,Self-Employed,43331,City C,State X,10,1,2022-01-01,,True
11,36,Female,Low,No,1,No,Divorced,1,Bachelor's,Retired,11562,City C,State Z,11,1,2022-01-01,,True
12,40,Female,High,No,2,No,Single,0,High School,Employed,93685,City A,State X,12,1,2022-01-01,,True
13,28,Other,Medium,Yes,7,No,Single,2,Master's,Unemployed,32141,City D,State Y,13,1,2022-01-01,,True
14,28,Male,Low,No,6,Yes,Single,3,Master's,Employed,80781,City C,State Y,14,1,2022-01-01,,True
15,41,Male,Medium,No,7,No,Divorced,3,PhD,Employed,70478,City D,State Z,15,1,2022-01-01,,True
16,70,Male,Medium,No,9,Yes,Divorced,4,High School,Retired,46924,City A,State Z,16,1,2022-01-01,,True
17,53,Female,Medium,Yes,9,Yes,Divorced,1,Bachelor's,Retired,40401,City D,State Z,17,1,2022-01-01,,True
18,57,Male,Low,No,6,No,Divorced,0,High School,Employed,52762,City D,State X,18,1,2022-01-01,,True
19,41,Other,Medium,No,9,Yes,Divorced,0,Bachelor's,Employed,38197,City A,State X,19,1,2022-01-01,,True
20,20,Male,Low,No,7,No,Single,3,PhD,Unemployed,47478,City D,State Y,20,1,2022-01-01,,True
