transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,discount_applied,payment_method,store_location,transaction_hour,day_of_week,week_of_year,month_of_year,total_sales,promotion_id,promotion_type,holiday_season,season,weekend
5002714,2023-02-04 19:23:44,334,258,8,987.33,0.35,Credit Card,,19,Monday,5,2,,100,20% Off,No,Fall,No
5256471,2023-02-15 02:02:05,73,5708,2,519.75,0.41,Cash,Location D,2,Monday,7,2,613.31,358,,,Summer,
6989689,2023-09-05 07:34:41,195,8719,2,806.52,0.47,Mobile Payment,Location A,7,,36,9,854.91,475,20% Off,,,Yes
3145707,2023-11-20 04:12:02,831,5830,7,193.05,0.35,Credit Card,,4,Thursday,47,11,878.38,967,Flash Sale,Yes,,
7253487,2023-01-26 14:42:18,379,5489,8,,0.38,Mobile Payment,Location D,14,,4,1,2821.02,476,Buy One Get One Free,No,Spring,
7583179,,601,5080,3,239.94,0.48,,Location C,4,Wednesday,17,8,374.31,160,,Yes,,
9670485,2023-05-14 17:49:31,564,650,5,675.61,0.41,Debit Card,Location C,17,Saturday,,5,1993.05,915,Buy One Get One Free,Yes,Winter,
4558281,2023-01-09 00:58:09,440,1197,1,769.85,0.0,,Location A,0,Wednesday,2,1,769.85,219,20% Off,Yes,Fall,
9479252,2023-04-29 21:50:19,41,4911,8,113.05,0.4,,,21,Tuesday,17,4,542.64,980,,Yes,Summer,No
9973800,2022-03-26 08:38:14,936,6833,2,434.36,0.27,Credit Card,Location A,8,Sunday,12,3,634.17,884,Flash Sale,No,Winter,Yes
2677309,2022-02-05 10:29:05,4,6966,9,536.11,0.45,Mobile Payment,Location A,10,,5,2,2653.74,83,20% Off,Yes,Fall,Yes
7061323,2023-03-29 22:20:26,820,5481,4,31.78,0.28,Cash,Location D,22,Sunday,,3,91.53,857,,Yes,Summer,
1864067,2023-11-17 16:56:26,534,418,5,797.87,,,Location C,16,Tuesday,46,11,3989.35,371,,No,Spring,Yes
2395256,2023-08-13 07:22:33,598,3640,5,590.33,0.26,Debit Card,,7,Sunday,32,8,2184.22,652,Buy One Get One Free,No,Winter,No
7393906,2023-04-08 20:12:22,971,5256,2,913.31,0.21,Debit Card,Location A,20,Friday,14,4,1443.03,574,20% Off,,Winter,No
6648275,2023-11-11 22:38:44,599,936,6,365.95,0.2,Debit Card,Location A,22,Thursday,45,11,1756.56,659,20% Off,,,Yes
6034336,2023-01-04 02:05:58,482,3101,7,549.92,0.49,Debit Card,Location C,2,Saturday,1,1,1963.21,73,,,Winter,No
8913334,2022-12-29 15:07:56,294,2283,10,307.31,0.09,Debit Card,Location D,15,Wednesday,52,12,2796.52,445,Buy One Get One Free,Yes,Fall,Yes
5112309,2022-01-28 06:58:34,385,8092,4,139.1,0.1,Cash,Location D,6,Thursday,4,1,500.76,829,20% Off,No,Fall,No
5654424,2023-09-16 05:16:04,403,1138,9,664.26,0.33,,Location C,5,,37,9,4005.49,79,Buy One Get One Free,No,Winter,No
7990803,2023-06-23 13:43:55,717,6715,2,242.84,,Cash,,13,Friday,25,6,485.68,664,Buy One Get One Free,No,Spring,
1058504,2022-04-06 23:26:18,959,6139,6,517.7,0.26,,Location B,23,Monday,,4,2298.59,764,Buy One Get One Free,No,Fall,Yes
9260751,2023-10-11 04:13:16,663,7918,2,33.3,0.24,,Location A,4,Friday,41,10,50.62,872,Buy One Get One Free,,Summer,Yes
4530538,2023-05-09 01:15:45,456,4364,5,714.96,0.14,,,1,Monday,19,5,3074.33,831,Buy One Get One Free,Yes,Summer,
9206070,2023-02-26 04:26:36,671,1031,4,768.22,0.0,Mobile Payment,Location A,4,Monday,8,2,3072.88,727,Flash Sale,Yes,,Yes
1453842,2022-08-26 02:16:12,218,2929,1,446.05,0.35,,,2,Tuesday,34,8,289.93,196,20% Off,Yes,Winter,
4732606,2022-12-06 03:18:19,626,1426,4,399.65,0.03,Debit Card,Location A,3,Thursday,49,12,1550.64,687,,No,Fall,No
